RECTYPE,URN,PCODE,TELNUM,TKS1EXP_L,PKS1EXP_L,TKS1EXP_M,PKS1EXP_M,TKS1EXP_H,PKS1EXP_H,TFSMCLA,PTFSMCLA,PT2MATH12,PT2READ12,PT2WRITTA12,TAPS,AVGLEVEL,PT2MATH12_B,PT2MATH12_G,PT2MATH12_L,PT2MATH12_M,PT2MATH12_H,PTREADX,PTREADAT,GAPN_3YR_RWMX_FSMCLA,GAPN_2YR_PRREAD_NOTFSMCLA,GAPN_2YR_PRWRIT_NOTFSMCLA,GAPN_3YR_PRMAT_NOTFSMCLA
1,100000,EC3A 5DE,020 72831147,3,10%,20,69%,6,21%,12,41%,100%,100%,97%,32.3,5B,100%,100%,SUPP,100%,100%,100%,0%,29,8,6,10
3,,,,3,10%,20,69%,6,21%,12,41%,100%,100%,97%,32.3,5B,100%,100%,SUPP,100%,100%,100%,,29,8,6,10
1,139837,NW3 4QP,020 7209 7904,,,,,,,,,,,,,,,,,,,,,,,,
1,100008,WC1H 9EG,020 78374590,9,16%,43,77%,4,7%,40,70%,95%,93%,96%,28.6,4A,96%,93%,89%,95%,SUPP,88%,0%,14,-2,8,7
1,100009,NW6 1QL,020 74358646,20,35%,35,61%,2,4%,38,66%,96%,96%,98%,28.9,4A,92%,100%,95%,97%,SUPP,86%,0%,15,4,8,5
1,100010,NW1 9AL,020 74856334,11,32%,21,62%,2,6%,29,83%,100%,91%,100%,29.4,4A,100%,100%,100%,100%,SUPP,91%,0%,11,10,8,9
1,100011,N19 5DH,020 72729627,5,12%,23,56%,13,32%,19,42%,95%,88%,98%,31,5C,96%,94%,SUPP,96%,100%,93%,0%,4,8,4,10
1,100012,NW5 4AX,020 74851947,14,35%,26,65%,0,0%,39,85%,95%,98%,98%,28.6,4A,95%,95%,86%,100%,SUPP,89%,2%,12,0,-2,8
1,100028,NW3 1JH,020 74351361,0,0%,7,32%,15,68%,3,13%,100%,95%,100%,33.7,5B,SUPP,100%,SUPP,100%,100%,100%,0%,27,SUPP,SUPP,12
1,100029,NW1 4BD,020 73877881,4,15%,20,74%,3,11%,19,70%,85%,93%,100%,27.8,4B,91%,81%,SUPP,90%,SUPP,78%,4%,12,6,8,5
1,130342,EC1R 4PQ,020 72784500,5,20%,18,72%,2,8%,17,63%,100%,100%,96%,29.9,4A,100%,100%,SUPP,100%,SUPP,96%,0%,16,10,8,10
1,100013,NW1 1DN,020 73877158,13,48%,13,48%,1,4%,21,75%,100%,89%,96%,26.4,4B,100%,100%,100%,100%,SUPP,75%,0%,-1,3,8,9
1,100027,NW5 2JA,020 74852155,1,3%,17,57%,12,40%,7,23%,100%,100%,90%,31.4,5C,100%,100%,SUPP,100%,100%,100%,0%,24,10,3,12
1,100030,NW6 1NA,020 74352971,0,0%,6,55%,5,45%,3,25%,100%,100%,100%,32.1,5B,100%,SUPP,SUPP,100%,SUPP,100%,0%,41,SUPP,SUPP,1
1,100026,NW3 6NP,020 74359797,1,4%,16,67%,7,29%,10,37%,96%,100%,96%,29.7,4A,91%,100%,SUPP,94%,100%,96%,0%,15,4,5,12
1,100014,NW3 2QT,020 74852028,1,4%,19,70%,7,26%,14,50%,100%,96%,100%,31.1,5C,100%,100%,SUPP,100%,100%,100%,0%,17,10,8,8
1,100025,NW3 2JB,020 74857435,18,32%,33,59%,5,9%,35,60%,96%,93%,100%,28.4,4A,100%,93%,94%,97%,SUPP,86%,0%,19,7,8,5
1,100031,NW3 6TX,020 74354135,2,8%,13,52%,10,40%,5,18%,85%,88%,96%,30.8,5C,86%,85%,SUPP,85%,100%,89%,0%,16,1,5,7
1,100033,NW1 8DE,020 72670771,3,12%,17,68%,5,20%,14,54%,100%,100%,100%,31.6,5C,100%,100%,SUPP,100%,SUPP,100%,0%,33,10,8,12
1,100032,NW3 5SQ,020 74359089,7,28%,17,68%,1,4%,18,72%,96%,96%,96%,28.3,4A,93%,100%,86%,100%,SUPP,92%,0%,17,4,2,-11
1,100034,NW5 2TU,020 74851279,8,21%,24,63%,6,16%,21,55%,92%,95%,97%,28.1,4A,90%,94%,88%,96%,83%,87%,0%,12,10,8,2
1,132245,NW6 4LB,020 76245379,8,18%,29,66%,7,16%,40,80%,98%,98%,98%,30.1,5C,100%,94%,88%,100%,100%,94%,0%,29,10,8,8
1,100018,NW1 3EN,020 73876601,13,27%,30,61%,6,12%,49,94%,94%,88%,90%,27.8,4B,96%,92%,85%,100%,100%,85%,0%,3,-2,-4,-10
1,100019,NW3 1HU,020 74310961,7,14%,26,53%,16,33%,23,45%,92%,100%,94%,30.6,5C,93%,91%,71%,92%,100%,92%,0%,2,10,6,8
1,100048,NW1 0DP,020 74857997,8,35%,12,52%,3,13%,19,76%,92%,91%,100%,28.7,4A,78%,100%,75%,100%,SUPP,84%,0%,20,10,8,2
1,100020,NW1 8JL,020 77228500,3,7%,30,68%,11,25%,32,62%,100%,96%,89%,29.4,4A,100%,100%,SUPP,100%,100%,94%,0%,28,7,2,12
1,100021,NW5 3HB,020 74854899,21,36%,32,55%,5,9%,49,82%,97%,91%,98%,27.9,4B,100%,93%,90%,100%,SUPP,85%,0%,12,10,4,4
1,100022,NW1 0LL,020 73875909,20,39%,29,57%,2,4%,43,80%,100%,100%,100%,29,4A,100%,100%,100%,100%,SUPP,94%,0%,21,6,4,5
1,100035,NW3 2AE,020 77946292,11,29%,24,63%,3,8%,19,46%,87%,84%,97%,28,4A,84%,93%,73%,92%,SUPP,83%,0%,4,-2,3,-2
1,100036,EC1N 7SD,020 72428585,5,19%,17,65%,4,15%,17,65%,96%,85%,100%,28.7,4A,95%,100%,SUPP,100%,SUPP,77%,0%,19,0,8,12
1,100037,NW1 1PS,020 73879591,14,30%,27,57%,6,13%,33,67%,91%,94%,89%,27.6,4B,92%,91%,86%,96%,83%,84%,0%,9,-1,5,-1
1,100039,NW5 4JS,020 74855918,9,26%,17,50%,8,24%,23,66%,94%,97%,97%,28.9,4A,100%,90%,78%,100%,100%,97%,0%,20,0,8,9
1,100047,NW6 4LS,020 76244837,7,28%,14,56%,4,16%,18,64%,100%,100%,100%,29.7,4A,100%,100%,100%,100%,SUPP,93%,0%,27,10,8,12
1,100040,WC1N 2NX,020 74055640,4,16%,19,76%,2,8%,17,65%,100%,100%,100%,30.6,5C,100%,100%,SUPP,100%,SUPP,100%,0%,22,10,8,8
1,100041,WC2B 5NA,020 72427712,5,24%,13,62%,3,14%,9,43%,100%,100%,100%,31.6,5C,100%,100%,SUPP,100%,SUPP,100%,0%,37,10,8,10
1,136807,NW3 7SU,020 74355604,,,,,,,,,,,,,,,,,,,,,,,,
1,100043,NW1 1QP,020 73876117,1,4%,18,69%,7,27%,19,73%,88%,96%,92%,28.7,4A,100%,82%,SUPP,94%,86%,96%,0%,24,10,3,7
1,100042,NW6 4PG,020 76248907,1,4%,18,78%,4,17%,19,76%,96%,83%,91%,27.9,4B,90%,100%,SUPP,94%,SUPP,80%,0%,11,2,-7,6
1,100044,NW1 0JA,020 74858965,7,28%,17,68%,1,4%,20,77%,84%,84%,92%,25.9,4C,86%,82%,57%,94%,SUPP,81%,0%,14,10,8,6
1,100045,NW5 3AH,020 72671200,4,17%,17,71%,3,13%,18,72%,92%,100%,100%,31.1,5C,91%,92%,SUPP,88%,SUPP,100%,0%,25,10,8,6
1,100046,NW3 3DS,020 77227381,1,4%,16,62%,9,35%,11,42%,100%,92%,100%,31.3,5C,100%,100%,SUPP,100%,100%,92%,0%,19,10,8,7
1,100023,NW5 2SJ,020 74240202,7,12%,39,68%,11,19%,41,71%,100%,95%,100%,30.2,5C,100%,100%,100%,100%,100%,98%,0%,29,7,8,7
2,100091,N1C 4PF,020 73917040,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,100096,NW8 6HX,020 75863311,17,100%,0,0%,0,0%,15,75%,20%,20%,20%,13.3,2,33%,9%,24%,SUPP,SUPP,0%,0%,-59,-76,-78,-78
3,,,,299,23%,812,61%,215,16%,889,64%,94%,93%,95%,29,4A,94%,94%,83%,97%,99%,89%,,15,5,5,6
1,100112,SE9 2JH,020 88506841,5,23%,13,59%,4,18%,14,61%,82%,100%,95%,28.2,4A,75%,90%,SUPP,92%,SUPP,91%,0%,3,2,8,-3
1,131841,SE2 0QS,020 83112266,14,21%,45,68%,7,11%,27,38%,95%,82%,88%,28,4A,97%,94%,86%,98%,100%,81%,0%,0,-6,-4,7
1,100113,SE18 1HE,020 88542169,10,26%,25,64%,4,10%,18,44%,100%,100%,100%,30.7,5C,100%,100%,100%,100%,SUPP,100%,0%,34,10,8,11
1,100181,SE28 8LW,020 83110406,4,15%,13,50%,9,35%,8,29%,88%,81%,92%,28.7,4A,100%,83%,SUPP,85%,89%,82%,0%,-1,-4,-6,0
1,100150,SE2 9JP,020 83101912,8,19%,28,67%,6,14%,21,48%,100%,98%,100%,30.4,5C,100%,100%,100%,100%,100%,95%,0%,14,8,6,12
1,100148,SE3 9AB,020 88528210,2,7%,9,32%,17,61%,6,20%,100%,100%,100%,31.6,5C,100%,100%,SUPP,100%,100%,100%,0%,34,10,8,12
1,100155,SE18 5LP,020 88541051,6,12%,33,66%,11,22%,33,62%,100%,96%,100%,31.5,5C,100%,100%,100%,100%,100%,98%,0%,33,7,8,12
1,100164,SE7 7EF,020 88566525,10,18%,39,70%,7,13%,34,60%,89%,91%,93%,28.8,4A,93%,85%,90%,87%,100%,89%,0%,13,7,3,7
1,100115,SE7 7DG,020 88566766,5,24%,12,57%,4,19%,12,52%,96%,100%,95%,31.7,5C,100%,93%,SUPP,92%,SUPP,96%,0%,28,10,8,12
1,100165,SE10 0DZ,020 88583974,2,10%,16,76%,3,14%,18,69%,64%,57%,90%,25.6,4C,83%,40%,SUPP,69%,SUPP,65%,0%,-10,-2,-4,-6
1,100166,SE18 3RS,020 88564513,1,4%,12,48%,12,48%,2,8%,88%,96%,100%,31.2,5C,91%,86%,SUPP,92%,92%,96%,0%,SUPP,SUPP,SUPP,SUPP
1,132800,SE18 1QY,020 88540897,9,24%,26,68%,3,8%,25,48%,100%,87%,97%,28,4A,100%,100%,100%,100%,SUPP,71%,0%,1,5,-3,7
1,100152,SE2 9PD,020 83105290,14,28%,35,70%,1,2%,34,64%,94%,90%,96%,28.5,4A,96%,92%,79%,100%,SUPP,87%,0%,16,4,8,10
1,132837,SE9 1XP,020 88501218,6,15%,22,55%,12,30%,14,31%,95%,95%,98%,31,5C,95%,95%,67%,100%,100%,96%,0%,27,8,8,12
1,131109,SE28 0JN,020 88552470,,,,,,,,,,,,,,,,,,,,,,,,
1,100120,SE9 6BP,020 88505484,6,24%,16,64%,3,12%,19,61%,100%,100%,100%,29.4,4A,100%,100%,100%,100%,SUPP,90%,0%,10,10,8,10
1,132827,SE18 3PY,020 88546917,4,9%,36,78%,6,13%,31,60%,96%,87%,93%,29.3,4A,100%,92%,SUPP,97%,100%,90%,0%,19,3,4,12
1,100167,SE9 1TR,020 88501528,4,10%,25,63%,11,28%,11,26%,93%,93%,98%,29.8,4A,91%,94%,SUPP,92%,100%,83%,2%,3,5,6,6
1,100125,SE7 7NQ,020 88585585,9,31%,18,62%,2,7%,22,59%,90%,97%,100%,27.2,4B,94%,85%,89%,94%,SUPP,89%,0%,16,-1,8,5
1,100156,SE18 7EX,020 88540816,11,25%,24,55%,9,20%,23,48%,84%,73%,93%,27.4,4B,74%,92%,64%,88%,100%,81%,0%,5,-8,-2,6
1,100126,SE18 1JR,020 88542691,14,30%,28,60%,5,11%,28,53%,98%,96%,98%,27.7,4B,100%,96%,100%,96%,SUPP,87%,2%,7,10,5,8
1,100127,SE9 1QG,020 88505486,2,4%,18,33%,35,64%,11,19%,95%,85%,98%,31.9,5C,100%,88%,SUPP,94%,94%,100%,0%,21,-2,3,9
1,100128,SE9 3JN,020 88574965,4,21%,13,68%,2,11%,14,74%,79%,68%,84%,25.7,4C,83%,77%,SUPP,85%,SUPP,74%,0%,4,-15,8,4
1,100162,SE18 2QQ,020 83166847,9,32%,16,57%,3,11%,15,54%,100%,100%,100%,30,5C,100%,100%,100%,100%,SUPP,100%,0%,12,10,8,12
1,100129,SE9 6DY,020 88504911,1,4%,19,79%,4,17%,14,56%,92%,92%,92%,29.2,4A,100%,88%,SUPP,95%,SUPP,92%,0%,8,5,3,-4
1,100130,SE10 0LD,020 88582767,3,7%,15,37%,23,56%,4,10%,98%,93%,98%,32.3,5B,95%,100%,SUPP,100%,100%,98%,0%,27,4,8,11
1,100197,SE28 8AS,020 83102140,7,13%,44,79%,5,9%,23,40%,100%,100%,100%,31.6,5C,100%,100%,100%,100%,SUPP,98%,0%,18,10,8,9
1,100131,SE9 6NZ,020 88568627,8,19%,30,70%,5,12%,25,56%,79%,98%,91%,27.7,4B,89%,71%,100%,73%,SUPP,96%,0%,-2,7,2,8
1,100158,SE28 0EA,020 83170809,13,16%,43,54%,23,29%,49,55%,96%,96%,91%,30.2,5C,98%,95%,92%,98%,100%,97%,0%,26,7,2,9
1,100178,SE3 9YX,020 88562708,3,14%,12,57%,6,29%,8,35%,100%,95%,100%,30.5,5C,100%,100%,SUPP,100%,100%,87%,0%,15,3,4,-3
1,100132,SE12 9BT,020 88575003,9,21%,30,71%,3,7%,23,52%,100%,93%,100%,29.3,4A,100%,100%,100%,100%,SUPP,86%,0%,7,8,8,10
1,100134,SE3 7HE,020 88583831,5,21%,14,58%,5,21%,8,33%,88%,96%,100%,29.2,4A,92%,82%,SUPP,93%,SUPP,92%,0%,24,10,8,8
1,131246,SE10 9LA,020 88582472,12,25%,21,44%,15,31%,24,48%,100%,90%,98%,29.7,4A,100%,100%,100%,100%,100%,92%,0%,7,-3,3,7
1,100136,SE3 8HS,020 88568315,4,17%,15,65%,4,17%,16,59%,96%,96%,91%,29,4A,91%,100%,SUPP,93%,SUPP,100%,0%,24,10,8,10
1,100159,SE28 8DT,020 83101902,12,24%,32,65%,5,10%,37,66%,90%,86%,92%,27.8,4B,83%,96%,73%,100%,SUPP,80%,0%,13,7,0,7
1,100137,SE10 9NY,020 88583572,7,27%,9,35%,10,38%,7,25%,96%,100%,100%,29.9,4A,100%,91%,100%,100%,90%,96%,0%,4,10,8,6
